"Product","Blackbox flight data recorder by Nicholas Sherlock"
36,6124967,2,1,3,0,0,0,7,2,0,0,0,1,1,-2,1000,0,0,-1,0,380,136,753,-1,0,-6,1,0,-5,65,-103,2054,0,0,0,0,0,0,0,0,158,158,203,183,12,12,12,12,1,0,0,1,1,-0.06223362041773161,-0.03728590759754952,6.283169234779901,9,3,3,0,0,-1,0,1,0,5
40,6125969,4,1,5,0,0,0,7,0,0,0,0,1,1,-1,1000,0,0,-1,0,380,136,753,-2,0,-7,0,-1,0,64,-119,2054,0,0,0,0,0,0,0,0,158,171,215,191,12,12,12,12,1,0,0,1,1,-0.06186168713454144,-0.03672608613036577,0.00010620064339494917,11,1,5,0,0,-1,0,2,0,6
44,6126973,3,1,6,0,0,0,6,1,0,0,0,1,1,-1,1000,0,0,-1,0,380,136,753,-2,0,-5,2,0,4,67,-138,2053,0,0,0,0,0,0,0,0,158,174,212,184,12,12,12,12,1,0,0,1,1,-0.06233256178006132,-0.036380193338532166,0.00019369149701553567,9,2,6,0,0,-1,0,2,0,4
48,6127980,1,1,5,0,0,0,1,0,0,0,0,1,1,-1,1000,0,0,-1,0,380,136,753,0,0,-3,2,0,5,75,-149,2052,0,0,0,0,0,0,0,0,158,172,184,160,12,12,12,12,1,0,0,1,1,-0.06311896971434616,-0.03638781362944748,0.00024632356855214255,2,1,5,0,0,-1,0,0,0,2
52,6128986,-1,1,3,0,0,0,-4,0,0,0,0,1,1,-1,1000,0,0,-1,0,380,136,753,1,0,-1,2,0,3,81,-154,2051,0,0,0,0,0,0,0,0,182,189,177,158,12,12,12,12,1,0,0,1,1,-0.06395510851424849,-0.036603555678933634,0.00026383012151587337,-5,1,3,0,0,-1,0,-1,0,0
56,6129992,-2,1,1,0,0,0,-7,1,0,0,0,1,1,-1,1000,0,0,-1,0,380,136,753,2,0,2,0,-1,2,87,-156,2051,0,0,0,0,0,0,0,0,197,192,169,158,12,12,12,12,1,0,0,1,1,-0.06472947340015366,-0.03698363762351912,0.00022873863002104144,-9,2,1,0,0,-1,0,-2,0,-3
60,6131042,-2,2,-1,0,0,0,-6,2,0,0,0,1,1,-1,1000,0,0,-1,0,380,136,753,2,-1,3,1,-2,0,84,-153,2051,0,0,0,0,0,0,0,0,202,183,166,158,12,12,12,12,1,0,0,1,1,-0.06531230608154137,-0.03724010918128614,0.00017262444752041972,-8,4,-1,0,0,-1,0,-2,1,-4
64,6132048,-2,2,-3,0,0,0,-6,2,0,0,0,1,1,-1,1000,0,0,0,0,380,136,753,2,-1,3,0,-1,-1,78,-149,2053,0,0,0,0,0,0,0,0,202,176,161,158,12,12,12,12,1,0,0,1,1,-0.06570660545488889,-0.03729127635135364,0.00011885349215745578,-8,4,-3,0,0,0,0,-2,1,-3
68,6133059,-1,2,-4,0,0,0,-2,1,0,0,0,1,1,-1,1000,0,0,0,0,380,136,753,1,-1,3,1,1,-1,74,-145,2058,0,0,0,0,0,0,0,0,185,158,159,161,12,12,12,12,1,0,0,1,1,-0.0659535079942639,-0.037223422059688115,0.00006481568431304652,-3,3,-4,0,0,0,0,-1,1,-3
72,6134061,-1,1,-4,0,0,0,-1,0,0,0,0,-1,1,-2,1000,0,0,0,0,380,136,753,1,0,2,2,2,-1,73,-138,2061,0,0,0,0,0,0,0,0,179,158,159,167,12,12,12,12,1,0,0,1,1,-0.06598666072342277,-0.03711955320915595,0.000029887324249244784,-2,1,-4,0,0,0,0,-1,0,-2
76,6135067,-1,0,-3,0,0,0,0,-2,0,0,0,-1,1,-2,1000,0,0,-1,0,380,136,753,1,0,0,1,2,-2,71,-132,2063,0,0,0,0,0,0,0,0,172,165,158,173,12,12,12,12,1,0,0,1,1,-0.06586347702587181,-0.03697745695978938,0.00002989500835237635,-1,-2,-3,0,0,-1,0,-1,0,-1
80,6136074,0,-1,-1,0,0,0,2,-4,0,0,0,-1,1,-2,1000,0,0,-1,0,378,144,753,0,1,-2,-1,1,-3,69,-129,2065,0,0,0,0,0,0,0,0,158,171,160,182,12,12,12,12,1,0,0,1,1,-0.06569322731188057,-0.036785959520651765,0.00006616076835452844,2,-5,-1,0,0,-1,0,0,-1,1
84,6137123,0,-1,0,0,0,0,3,-5,0,0,0,-1,1,-2,1000,0,0,-1,0,378,144,753,0,1,-3,-1,0,-2,71,-129,2066,0,0,0,0,0,0,0,0,158,184,171,192,12,12,12,12,1,0,0,1,1,-0.06553630490158589,-0.03665581229838389,0.00012221391453248742,3,-6,0,0,0,-1,0,0,-1,2
88,6138130,-1,-1,2,0,0,0,2,-4,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,1,1,-3,2,0,1,75,-135,2065,0,0,0,0,0,0,0,0,158,185,164,178,12,12,12,12,1,0,0,1,1,-0.06550633849100097,-0.03662325975644533,0.00017601418885249132,1,-5,2,0,0,-1,0,-1,-1,2
92,6139135,-2,0,1,0,0,0,-1,-2,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,1,1,-1,1,0,4,81,-144,2064,0,0,0,0,0,0,0,0,162,178,158,162,12,12,12,12,1,0,0,1,1,-0.0656657329340488,-0.03671444750131582,0.00019467584774446323,-3,-2,1,0,0,-1,0,-1,-1,0
96,6140141,-1,1,0,0,0,0,-1,1,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,1,0,1,0,0,5,83,-148,2062,0,0,0,0,0,0,0,0,171,166,165,158,12,12,12,12,1,0,0,1,1,-0.06589447371173233,-0.03685304328872093,0.00017714162425352953,-2,2,0,0,0,-1,0,-1,0,-2
100,6141147,-1,1,-2,0,0,0,-1,3,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,1,0,2,0,-1,2,81,-145,2059,0,0,0,0,0,0,0,0,181,159,168,158,12,12,12,12,1,0,0,1,1,-0.06605230853959274,-0.03694398892285072,0.00014207663296073036,-2,4,-2,0,0,-1,0,-1,0,-3
104,6142154,0,1,-3,0,0,0,1,3,0,0,0,0,1,-2,1000,0,0,-1,0,378,144,753,0,-1,3,-1,0,-1,77,-137,2060,0,0,0,0,0,0,0,0,187,158,178,172,13,13,13,13,1,0,0,1,1,-0.06606766584887314,-0.03697020842340763,0.00008826812610518431,1,4,-3,0,0,-1,0,0,1,-4
108,6143208,0,1,-3,0,0,0,1,2,0,0,0,0,1,-2,1000,0,0,-1,0,378,144,753,0,0,2,1,0,-5,72,-129,2057,0,0,0,0,0,0,0,0,184,158,176,176,13,13,13,13,1,0,0,1,1,-0.06594348135105627,-0.036893008659978355,0.000051534385908880154,1,3,-3,0,0,-1,0,0,0,-3
112,6144214,1,1,-2,0,0,0,2,1,0,0,0,0,1,-2,1000,0,0,-1,0,378,144,753,0,0,-1,-2,0,-7,70,-123,2058,0,0,0,0,0,0,0,0,177,158,177,176,13,13,12,13,1,0,0,1,1,-0.06572235611182795,-0.0367899379190332,0.00006907102783326735,3,2,-2,0,0,-1,0,0,0,0
116,6145225,0,1,-1,0,0,0,2,0,0,0,0,0,1,-2,1000,0,0,-1,0,378,144,753,0,0,-3,2,0,-5,73,-119,2055,0,0,0,0,0,0,0,0,162,158,170,170,13,13,12,13,1,0,0,1,1,-0.06545184521690275,-0.03674761335393069,0.00012193531979143302,2,1,-1,0,0,-1,0,0,0,2
120,6146227,-1,1,1,0,0,0,-1,-1,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,1,0,-4,3,0,-3,73,-122,2054,0,0,0,0,0,0,0,0,165,170,163,158,12,13,12,13,1,0,0,1,1,-0.06523026109068458,-0.036709655637048665,0.00019179157941451308,-2,0,1,0,0,-1,0,-1,0,3
124,6147234,0,1,3,0,0,0,-1,0,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,0,0,-4,1,-1,1,71,-132,2054,0,0,0,0,0,0,0,0,164,171,171,158,12,12,12,12,1,0,0,1,1,-0.06519403314042606,-0.03664277321679816,0.0002619917536081928,-1,1,3,0,0,-1,0,0,0,3
128,6148241,-2,1,3,0,0,0,-2,1,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,2,0,-2,3,0,4,74,-143,2054,0,0,0,0,0,0,0,0,180,184,175,158,12,12,12,12,1,0,0,1,1,-0.06529282425256748,-0.03662268494806626,0.0002970862580990996,-4,2,3,0,0,-1,0,-2,0,1
132,6149301,-1,1,2,0,0,0,-4,1,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,1,0,0,-1,0,6,81,-150,2058,0,0,0,0,0,0,0,0,183,182,171,158,12,12,12,12,1,0,0,1,1,-0.0655007587636763,-0.036701748001911096,0.0002970784757563294,-5,2,2,0,0,-1,0,-1,0,-1
136,6150305,-1,1,0,0,0,0,-1,1,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,1,0,1,2,0,5,86,-150,2056,0,0,0,0,0,0,0,0,174,166,165,158,13,12,12,12,1,0,0,1,1,-0.06569972544656608,-0.0368474058922581,0.00027957464763606055,-2,2,0,0,0,-1,0,-1,0,-2
140,6151310,-1,1,-2,0,0,0,-1,0,0,0,0,1,1,-1,1000,0,0,-1,0,378,144,753,1,0,2,-1,-2,2,86,-147,2057,0,0,0,0,0,0,0,0,173,160,158,158,13,13,12,13,1,0,0,1,1,-0.06584535268973515,-0.03698340202794964,0.00024454100992077343,-2,1,-2,0,0,-1,0,-1,0,-3
144,6152317,2,2,-3,0,0,0,3,2,0,0,0,1,1,-1,1000,0,0,0,0,378,144,753,-1,-1,3,-4,-2,-1,78,-139,2059,0,0,0,0,0,0,0,0,182,158,189,187,15,13,12,13,1,0,0,1,1,-0.06590788410484773,-0.03701924182226571,0.00019073342901165802,5,4,-3,0,0,0,0,1,1,-3
148,6153326,0,2,-4,0,0,0,3,2,0,0,0,1,1,-1,1000,0,0,0,0,378,144,753,1,-1,3,3,0,-2,72,-132,2063,0,0,0,0,0,0,0,0,186,158,181,180,15,14,13,14,1,0,0,1,1,-0.06583799043728704,-0.03697299166529865,0.00013682359282718437,3,4,-4,0,0,0,0,-1,1,-3
152,6154329,1,2,-4,0,0,0,1,1,0,0,0,1,1,-3,1000,0,0,-1,0,378,144,753,0,-1,2,3,2,-1,75,-133,2059,0,0,0,0,0,0,0,0,182,158,176,180,16,14,13,14,1,0,0,1,1,-0.06580398555011369,-0.03697082550035415,0.00010071443622550191,2,3,-4,0,0,-1,0,0,1,-3
156,6155391,1,1,-4,0,0,0,2,-1,0,0,0,1,1,-3,1000,0,0,-1,0,379,144,753,0,0,1,-2,1,-1,71,-134,2065,0,0,0,0,0,0,0,0,172,158,168,182,16,16,12,16,1,0,0,1,1,-0.06577863849022261,-0.0369003517046178,0.00008220830329541684,3,0,-4,0,0,-1,0,0,0,-2
160,6156398,-2,0,-3,0,0,0,-1,-3,0,0,0,1,1,-3,1000,0,0,-1,0,379,138,753,2,1,0,4,1,-1,71,-132,2075,0,0,0,0,0,0,0,0,179,180,158,183,18,18,12,16,1,0,0,1,1,-0.06568715273069595,-0.036812966311698454,0.0000833668603590354,-3,-3,-3,0,0,-1,0,-2,-1,-1
164,6157404,0,0,-2,0,0,0,-2,-3,0,0,0,1,1,-3,1000,0,0,-2,0,379,138,753,0,0,-1,-1,-1,-1,65,-134,2071,0,0,0,0,0,0,0,0,173,175,158,177,20,18,12,17,1,0,0,1,1,-0.06565990104619598,-0.036677732713673285,0.00010089999232931746,-2,-3,-2,0,0,-2,0,0,0,-1
168,6158412,-2,-1,-1,0,0,0,-2,-3,0,0,0,0,1,-2,1000,0,0,-2,0,379,138,753,2,1,-2,3,2,-1,62,-138,2080,0,0,0,0,0,0,0,0,177,186,158,175,22,19,12,19,1,0,0,1,1,-0.06563860733903447,-0.03649394871547106,0.00013718664380935053,-4,-4,-1,0,0,-2,0,-2,-1,0
172,6159417,-1,0,0,0,0,0,-2,-2,0,0,0,0,1,-2,1000,0,0,-2,0,379,138,753,1,0,-3,1,0,0,65,-142,2072,0,0,0,0,0,0,0,0,168,176,158,167,22,22,14,19,1,0,0,1,1,-0.06568567910000367,-0.036373917638552064,0.00018972595712618556,-3,-2,0,0,0,-2,0,-1,0,1
176,6160428,-3,0,1,0,0,0,-4,-1,0,0,0,0,1,-2,1000,0,0,-1,0,379,138,753,2,0,-2,1,0,0,72,-136,2072,0,0,0,0,0,0,0,0,182,187,158,161,25,22,14,21,1,0,0,1,1,-0.0656466477152741,-0.03633645075854208,0.00022496360317170172,-7,-1,1,0,0,-1,0,-2,0,1
180,6161493,-1,0,0,0,0,0,-1,0,0,0,0,0,1,-2,1000,0,0,-1,0,379,138,753,1,0,-1,2,1,-2,72,-136,2072,0,0,0,0,0,0,0,0,168,169,158,159,27,24,15,23,1,0,0,1,1,-0.06562547125378577,-0.03629960124104278,0.00024352336095745386,-2,0,0,0,0,-1,0,-1,0,0
184,6162501,-1,0,0,0,0,0,-1,-1,0,0,0,1,1,-2,1000,0,0,-1,0,379,138,753,1,1,-1,-4,-2,-2,76,-131,2066,0,0,0,0,0,0,0,0,167,169,158,163,28,26,15,25,1,0,0,1,1,-0.06555656247668686,-0.036292348680471966,0.0002622460625438805,-2,-1,0,0,0,-1,0,-1,-1,0
188,6163507,2,2,-1,0,0,0,5,2,0,0,0,1,1,-2,1000,0,0,-1,0,379,138,753,-1,-1,-1,-2,-3,-3,76,-129,2066,0,0,0,0,0,0,0,0,177,158,197,185,31,28,17,25,1,0,0,1,1,-0.06550369795652547,-0.03631943029190078,0.00027863050577181525,7,4,-1,0,0,-1,0,1,1,0
192,6164513,1,2,-1,0,0,0,5,4,0,0,0,1,1,-2,1000,0,0,-1,0,379,138,753,0,-1,0,0,-2,0,78,-128,2062,0,0,0,0,0,0,0,0,187,158,203,182,34,30,19,27,1,0,0,1,1,-0.06542919664691789,-0.03636670506950427,0.0002774861270244955,6,6,-1,0,0,-1,0,0,1,-1
196,6165520,1,3,-1,0,0,0,3,6,0,0,0,1,1,-2,1000,0,0,-1,0,379,138,753,0,-2,-1,3,0,1,84,-124,2061,0,0,0,0,0,0,0,0,195,158,207,178,36,36,19,30,1,0,0,1,1,-0.06531748456944286,-0.03649165357465566,0.0002927488154895741,4,9,-1,0,0,-1,0,0,2,0
200,6166525,1,3,-1,0,0,0,1,4,0,0,0,1,1,-1,1000,0,0,-1,0,379,138,753,0,-1,-1,0,0,2,88,-125,2057,0,0,0,0,0,0,0,0,189,158,192,169,39,36,21,32,1,0,0,1,1,-0.06522256370905394,-0.036636128098552524,0.0003091313797591866,2,7,-1,0,0,-1,0,0,1,0
204,6167606,1,2,-1,0,0,0,2,2,0,0,0,1,1,-1,1000,0,0,-1,0,379,138,753,0,-1,0,0,0,1,88,-131,2058,0,0,0,0,0,0,0,0,176,158,186,174,46,43,22,38,1,0,0,1,1,-0.06518945727526339,-0.03677507312743765,0.0003079070558715813,3,4,-1,0,0,-1,0,0,1,-1
208,6168617,1,1,-1,0,0,0,1,-1,0,0,0,1,1,-1,1000,0,0,-1,0,379,138,753,0,0,0,-2,-1,1,85,-133,2058,0,0,0,0,0,0,0,0,163,158,167,168,51,46,24,40,1,0,0,1,1,-0.06517660011989308,-0.036862025812826826,0.0003079099120792961,2,0,-1,0,0,-1,0,0,0,-1
212,6169619,1,1,-1,0,0,0,0,-1,0,0,0,1,1,-1,1000,0,0,-1,0,379,138,753,0,0,1,0,-1,1,85,-134,2056,0,0,0,0,0,0,0,0,163,158,161,167,58,55,24,44,1,0,0,1,1,-0.06517542451001362,-0.036945309375215916,0.00029044814715462053,1,0,-1,0,0,-1,0,0,0,-2
216,6170624,0,1,-2,0,0,0,-2,-2,0,0,0,1,1,-1,1000,0,0,-1,0,379,138,753,1,0,1,3,1,0,87,-134,2054,0,0,0,0,0,0,0,0,173,167,158,167,65,58,27,51,1,0,0,1,1,-0.06515829789252006,-0.03704462169484961,0.0002729339022025101,-2,-1,-2,0,0,-1,0,-1,0,-2
220,6171630,-2,0,-2,0,0,0,-5,-3,0,0,0,1,1,-1,1000,0,0,-1,0,379,138,753,2,0,1,3,1,-1,87,-130,2056,0,0,0,0,0,0,0,0,192,196,158,179,68,66,29,55,1,0,0,1,1,-0.06508692980439462,-0.03713979086561954,0.00025540724168759965,-7,-3,-2,0,0,-1,0,-2,0,-2
224,6172637,-1,0,-2,0,0,0,-4,-4,0,0,0,1,1,-1,1000,0,0,0,0,379,138,753,1,0,1,-2,-1,-1,88,-138,2056,0,0,0,0,0,0,0,0,182,188,158,179,79,71,32,60,1,0,0,1,1,-0.06510578204997697,-0.03724032313501433,0.00023785271420440068,-5,-4,-2,0,0,0,0,-1,0,-1
228,6173706,2,0,-2,0,0,0,2,-2,0,0,0,1,1,-1,1000,0,0,0,0,379,138,753,-1,0,0,-2,1,-2,86,-141,2060,0,0,0,0,0,0,0,0,158,161,166,179,88,77,38,64,1,0,0,1,1,-0.065182579915783,-0.03731963785750717,0.00023784520668890252,4,-2,-2,0,0,0,0,1,0,0
232,6174707,1,0,-1,0,0,0,3,-2,0,0,0,1,1,-1,1000,0,0,0,0,379,138,753,0,1,0,2,0,1,87,-149,2055,0,0,0,0,0,0,0,0,158,164,169,180,91,84,41,73,1,0,0,1,1,-0.06531029111132447,-0.037389177444146986,0.00023896894405517344,4,-2,-1,0,0,0,0,0,-1,0
236,6175712,-1,0,-1,0,0,0,0,-1,0,0,0,1,1,-1,1000,0,0,0,0,378,138,753,1,0,0,2,1,3,87,-152,2057,0,0,0,0,0,0,0,0,161,162,158,161,99,88,50,81,1,0,0,1,1,-0.06544083013468593,-0.03747255745108096,0.00023895135637541642,-1,-1,-1,0,0,0,0,-1,0,0
240,6176719,-1,0,-1,0,0,0,-2,-1,0,0,0,1,1,-1,1000,0,0,0,0,378,133,753,1,0,0,1,1,2,89,-149,2062,0,0,0,0,0,0,0,0,168,169,158,161,104,92,54,85,1,0,0,1,1,-0.06553906059588627,-0.037568370689193886,0.000238937873167977,-3,-1,-1,0,0,0,0,-1,0,0
244,6177725,0,0,-1,0,0,0,-1,-1,0,0,0,1,1,-1,1000,0,0,0,0,378,133,754,0,1,1,-3,2,2,91,-154,2065,0,0,0,0,0,0,0,0,165,169,158,167,112,100,62,88,1,0,0,1,1,-0.06569111055087513,-0.03765811752158223,0.00022254089895756834,-1,-1,-1,0,0,0,0,0,-1,-1
248,6178732,4,0,-2,0,0,0,5,-1,0,0,0,1,1,-1,1000,0,0,0,0,378,133,754,-2,1,2,-4,-1,2,91,-152,2069,0,0,0,0,0,0,0,0,158,159,186,197,117,104,64,92,1,0,0,1,1,-0.06585525199954373,-0.03774238483855994,0.00018858600208204734,9,-1,-2,0,0,0,0,2,-1,-2
252,6179786,2,-1,-3,0,0,0,6,-2,0,0,0,1,1,-1,1000,0,0,0,0,378,133,754,-1,1,2,2,0,3,94,-151,2062,0,0,0,0,0,0,0,0,158,158,179,197,128,113,81,100,1,0,0,1,1,-0.06599408359866127,-0.037848800040312845,0.0001530529504591982,8,-3,-3,0,0,0,0,1,-1,-2
256,6180785,0,0,-3,0,0,0,1,-1,0,0,0,1,1,-1,1000,0,0,0,0,378,133,754,0,1,3,4,1,2,92,-145,2060,0,0,0,0,0,0,0,0,167,162,158,178,126,121,84,108,1,0,0,1,1,-0.06606540404140879,-0.03793657965703246,0.00010196996706657302,1,-1,-3,0,0,0,0,0,-1,-3
260,6181792,0,1,-4,0,0,0,-2,1,0,0,0,1,1,-1,1000,0,0,0,0,378,133,754,0,0,3,-3,-1,0,86,-142,2056,0,0,0,0,0,0,0,0,181,159,158,165,131,121,87,113,1,0,0,1,1,-0.06611351584112156,-0.03799331620437448,0.000049318976728329744,-2,2,-4,0,0,0,0,0,0,-3
